PROGRAM NUMBER,PROGRAM NAME,STREET ADDRESS,CITY,STATE,ZIP CODE,COUNTY,PHONE,EMAIL,PROGRAM TYPE,SUTQ RATING,LICENSE/CERTIFICATION/REGISTRATION BEGIN DATE,LICENSE/CERTIFICATION/REGISTRATION END DATE,ADMINISTRATOR 1 NAME,ADMINISTRATOR 2 NAME,ADMINISTRATOR 3 NAME,PFCC AGREEMENT
307578,A KIDS ONLY EARLY LEARNING CT INC,2621 STATE ROAD,ASHTABULA,OH,44004,ASHTABULA,440-998-5553,kidsonlyash@yahoo.com,Licensed Child Care Center,3,2007-07-09,,Tamera McTrusty,,,Y
306543,A KID'S PLACE CHILDCARE,30121 LORAIN RD,NORTH OLMSTED,OH,44070,CUYAHOGA,440-821-6776,mskapes@gmail.com,Licensed Child Care Center,0,2004-06-07,,CHRIS ALBERT,,,Y
400839,A LITTLE PIECE OF HEAVEN LEARNING CENTER LLC,771 HARRISBURG PIKE,COLUMBUS,OH,43223,FRANKLIN,614-279-8807,piecesofheaven771@gmail.com,Licensed Child Care Center,1,2015-04-15,,Amina Brown,,,Y
400965,"A LOVE FOR CHILDREN, LLC",4656 HEATON ROAD,COLUMBUS,OH,43229,FRANKLIN,614-378-5210,aloveforchildren@gmail.com,Licensed Child Care Center,0,2015-09-04,,KATINA ALLEN,,,Y
2260033310,A LOVING TOUCH,3551 E 138TH STREET,CLEVELAND,OH,44120,CUYAHOGA,216-269-7481,deanna.williams21@gmail.com,Registered Day Camp or Approved Day Camp,0,2026-02-10,,,,,N
2200022034,A MILLION DREAMS LEARNING CENTER,541 MAIN STREET,MILFORD,OH,45150,CLERMONT,513-831-5608,info@amilliondreamslc.org,Licensed Child Care Center,0,2020-08-07,,Courtney Schmitgen,,,Y
2240030976,A MOTHER'S INSTINCT,853 MERCER AVE,AKRON,OH,44320,SUMMIT,440-723-0161,amothersinstinctllc@gmail.com,Licensed Type B Family Child Care Home,0,2025-10-16,2026-10-15,,,,Y
995405062,A MOTHER'S LOVE FAMILY CHILD CARE,4573 WEST145TH STREET,CLEVELAND,OH,44135,CUYAHOGA,330-937-6282,shaunaholman28@yahoo.com,Licensed Type B Family Child Care Home,2,2015-01-06,,,,,Y
2230027669,A MOTHER'S LUV EARLY EDUCATION CENTER,3142 READING RD,CINCINNATI,OH,45229,HAMILTON,513-203-6514,anyaharris44@yahoo.com,Licensed Child Care Center,0,2023-05-26,,Anya Harris,,,Y
2190020297,A MOTHERS TOUCH LAST FOREVER LLC,3300 UPTON AVE,TOLEDO,OH,43613,LUCAS,419-309-4039,amtlforever2019@gmail.com,Licensed Child Care Center,0,2019-10-16,,Natasha Mundy,,,Y
2230028792,A PLACE 2 GROW CHILDCARE,897 W. NORTH BEND RD.,CINCINNATI,OH,45224,HAMILTON,513-601-7847,info@aplace2growchildcare.org,Licensed Type A Family Child Care Home,3,2023-12-04,,JoeQuita Stephens-Craddock,,,Y
107064,A PLACE FOR EVERYONE LLC,5192 DARROW RD,HUDSON,OH,44236,SUMMIT,330-650-2733,aplaceforeveryone@windstream.net,Licensed Child Care Center,0,2009-10-21,,MICHELLE MCAFEE,,,N
2230029172,A PLACE LIKE HOME,289 NEWTON AVE,NEWARK,OH,43055,LICKING,380-201-2762,kaywinterrose@gmail.com,Licensed Type B Family Child Care Home,0,2024-06-13,,,,,Y
2210025267,A PLACE TO GROW ACADEMY,6760 DISCOVERY BLVD,DUBLIN,OH,43017,FRANKLIN,937-901-1658,nschneider9455@gmail.com,Licensed Child Care Center,0,2021-12-01,,Dianna Lancaster,,,Y
2180018327,A PLACE TO GROW DAYCARE CENTER AND PRESCHOOL LLC,115 W ST CLAIR ST # A,EATON,OH,45320,PREBLE,937-456-2500,tishplace2grow@gmail.com,Licensed Child Care Center,0,2018-09-17,,Latisha Plaugher,,,Y
104554,A PLACE TO LEARN AND GROW INCORPORATED,407 SIXTH ST NW,CANTON,OH,44702,STARK,330-453-0034,learnandgrow407@aol.com,Licensed Child Care Center,1,1998-10-28,,Jamie Egan,Bonnie Collin,,Y
500191,A PROMISING TOMORROW LLC.,890 W. BANCROFT ST,TOLEDO,OH,43606,LUCAS,419-244-5348,waterstoledo@aol.com,Licensed Child Care Center,3,2013-07-30,,cheryl waters,Jasmine Sherer,,Y
500276,"A RAINBOW'S TREASURE, LLC",4725 DORR ST,TOLEDO,OH,43615,LUCAS,567-312-8190,raynbowkids@aol.com,Licensed Child Care Center,3,2009-09-24,,ALLISON COX,,,Y
307339,A SENSE OF WONDER EARLY CARE & EDUCATION PROGRAM LLC,8942 E. MARKET STREET,WARREN,OH,44484,TRUMBULL,330-856-1273,asenseofwonderedu@hotmail.com,Licensed Child Care Center,0,2007-12-03,,MELEA MARTIN,SHELLY COLE-MONLEY,,Y
2170012594,A SHANTON DAYCARE,47 MAIN STREET,CHILLICOTHE,OH,45601,ROSS,740-779-0110,ashantondaycare@gmail.com,Licensed Child Care Center,3,2017-06-03,,Anna Shanton,,,Y
2230029133,"A SIMPLE DIMPLE, LLC",74 SOUTH 30TH STREET,NEWARK,OH,43055,LICKING,614-696-0610,9856candy@gmail.com,Licensed Child Care Center,1,2024-03-05,,candice cook,,,Y
2230027870,A STEP ABOVE 2 INC,3728 PEARL RD,CLEVELAND,OH,44109,CUYAHOGA,216-334-5180,astepabovecare2@yahoo.com,Licensed Child Care Center,1,2023-04-21,,Rodina Yassin,Abedallah Yassin,Samer Silmi,Y
2180016960,A STEP ABOVE DAYCARE ACADEMY,10320 LORAIN AVE,CLEVELAND,OH,44111,CUYAHOGA,216-762-1580,astepabovecare@yahoo.com,Licensed Child Care Center,1,2018-06-25,,rodina Yassin,,,Y
2180017710,A STEP IN THE RIGHT DIRECTION LITERACY LEARNING CENTER,5817 BEECHCROFT RD,COLUMBUS,OH,43229,FRANKLIN,614-423-7373,rightdirectionllc@yahoo.com,Licensed Child Care Center,1,2018-05-30,,Ronda Brown,,,Y
2180017805,A TO Z'S NURSERY,18600 MAPLE HTS BLVD,MAPLE HTS,OH,44137,CUYAHOGA,216-255-2778,lsloan214@gmail.com,Licensed Type B Family Child Care Home,1,2018-07-20,,,,,Y
2240030112,A UNIQUE RAY OF SUNSHINE DAYCARE,1608 HAGLEY RD,TOLEDO,OH,43612,LUCAS,419-705-0888,ckayleemc@yahoo.com,Licensed Type B Family Child Care Home,0,2024-11-14,,,,,Y
2200022316,A WONDERLAND LEARNING ADVENTURE L.L.C,648 EAST 185TH STREET,CLEVELAND,OH,44119,CUYAHOGA,216-246-5325,awonderlandlearningadventure@gmail.com,Licensed Child Care Center,2,2021-02-11,,Tracy Jackson,,,Y
2210024741,A YOUNG MIND CHILDCARE CENTER,3810 LEE RD,CLEVELAND,OH,44128,CUYAHOGA,216-532-6100,ayoungmindchildcare1@gmail.com,Licensed Child Care Center,1,2021-08-02,,Pamela Osborne,Ashley McNair,,Y
400610,"A&B CHILD CARE AND LEARNING CENTER, LLC",4818 INDIANOLA AVE,COLUMBUS,OH,43214,FRANKLIN,614-785-7290,abchildcare10@gmail.com,Licensed Child Care Center,0,2013-11-04,,Hane Hilowle,,,Y
2240030168,A&C LITTLE SMARTIES FCC LLC,1311 FERNWOOD AVENUE,TOLEDO,OH,43607,LUCAS,567-457-5668,littlesmartiesfcc@yahoo.com,Licensed Type B Family Child Care Home,3,2024-08-19,,,,,Y
207853,A&HT WYOMING PRESCHOOL,334 BURNS AVE,WYOMING,OH,45215,HAMILTON,513-821-5342,wyomingpreschool@gmail.com,Licensed Child Care Center,0,2010-07-30,,SANDRA REMPE,,,N
407193,A+ ACADEMY CHILD,4580 HEATON ROAD,COLUMBUS,OH,43229,FRANKLIN,614-880-5437,aacademychild@hotmail.com,Licensed Child Care Center,1,2001-09-17,,JENNIFER CHEUK,,,Y
2180016806,A+ CHILDCARE & PRESCHOOL,3825 LINCOLN WAY E,MASSILLON,OH,44646,STARK,330-478-1100,apluskidscare1@gmail.com,Licensed Child Care Center,0,2018-03-01,,Nicole Shaheen,,,Y
2170012898,A+ KIDS LEARNING CENTER,5700 KATHY RUN LANE,COLUMBUS,OH,43229,FRANKLIN,614-394-8278,apluskids@outlook.com,Licensed Child Care Center,1,2017-06-05,,Ebony White,Nykkel Neeley,,Y
305428,A.B.C. CHILD CARE AND LEARNING CENTER,2012 W 11TH STREET,ASHTABULA,OH,44004,ASHTABULA,440-964-8799,larina@abc-childcare.com,Licensed Child Care Center,3,2000-07-10,,JODI VAN'T VEER,LARINA SPRING,,Y
2210025474,AAA DAYCARE,6505 WINCHESTER HIGHLANDS DR,CANAL WINCHESTER,OH,43110,FRANKLIN,614-817-8355,awagigo@yahoo.com,Licensed Type B Family Child Care Home,1,2022-05-27,,,,,N
106289,AAC3 DBA ALL ABOUT CHILDREN,217 COMMERCIAL AVENUE SW,NEW PHILADELPHI,OH,44663,TUSCARAWAS,330-339-9519,allaboutchildreninc@yahoo.com,Licensed Child Care Center,1,2006-04-13,,Danielle Pruett,,,Y
2180018973,AB CHILDCARE ACADEMY LLC,6060 CHANNINGWAY BLVD,COLUMBUS,OH,43232,FRANKLIN,614-762-3900,abchildcareacademy@gmail.com,Licensed Child Care Center,0,2018-12-24,,Kamalo Rage,Hane Hilowle,,Y
2190020831,ABBEY'S ANGEL,2243 BALTIMORE AVE.,CINCINNATI,OH,45225,HAMILTON,513-815-9570,lindafoster911@gmail.com,Licensed Type B Family Child Care Home,0,2020-10-02,,,,,Y
969058194,"ABBINGTON, LAVONNA M",7492 SWINDON ST,BLACKLICK,OH,43004,FRANKLIN,740-819-3357,msvp818@aol.com,Licensed Type B Family Child Care Home,2,2014-01-01,,,,,Y
931493707,"ABBUHL, JENNIFER",904 N. 2ND ST.,DENNISON,OH,44621,TUSCARAWAS,330-407-6881,skyabbuhl99@yahoo.com,Licensed Type B Family Child Care Home,0,2014-01-01,,,,,Y
502411,"ABC ACADEMY OF FREMONT, LLC",151 S TAFT AVE,FREMONT,OH,43420,SANDUSKY,419-332-2240,abcacademy43420@att.net,Licensed Child Care Center,3,1997-04-27,,LUCINDA A COLE,,,Y
2240031072,ABC ANGELS ACADEMY,997 OAKLAND PARK AVE,COLUMBUS,OH,43224,FRANKLIN,817-751-5300,emaynie@gmail.com,Licensed Type B Family Child Care Home,0,2025-03-26,2026-03-25,,,,Y
1000019781,ABC CENTER,20 E 1ST ST,NEW BREMEN,OH,45869,AUGLAIZE,419-629-2419,test@oclqs.org,Licensed School-Based Preschool,3,2011-09-24,,,,,N
200012,ABC CHILD DEVELOPMENT CENTER,3024 HOOVER AVE.,DAYTON,OH,45402,MONTGOMERY,937-268-5700,fjparson@zoomtown.com,Licensed Child Care Center,3,2010-07-21,,JOY PARSON,,,Y
100372,ABC CLUBHOUSE ACADEMY,692 E MARKET STREET,AKRON,OH,44304,SUMMIT,330-687-3479,abcclubhouseacademy@yahoo.com,Licensed Child Care Center,0,2015-12-24,,Brittany Wright,,,Y
2230028255,ABC CLUBHOUSE PRESCHOOL & CARE LLC,801 NORWOOD DRIVE,SIDNEY,OH,45365,SHELBY,937-622-0537,abcclubhouse1736@gmail.com,Licensed Type A Family Child Care Home,3,2023-07-06,,Megan Chambers-Bell,,,Y
2180017850,ABC DAYCARE,1861 DENHAM STREET,CINCINNATI,OH,45225,HAMILTON,513-690-8992,nicsmit35@gmail.com,Licensed Type B Family Child Care Home,1,2018-05-01,,,,,Y
206167,ABC EARLY CHILDHOOD LEARNING CENTER,3998 DRY RIDGE ROAD,CINCINNATI,OH,45252,HAMILTON,513-923-4300,dmauney@abceclc.com,Licensed Child Care Center,3,2005-02-04,,KRISTY JIMMERSON,,,Y
2240030562,ABC KIDS ACADEMY CHILDCARE,983 S. ARLINGTON ST,AKRON,OH,44306,SUMMIT,234-678-0087,abckidsacademychildcare@gmail.com,Licensed Child Care Center,0,2025-09-16,2026-09-15,PerShawna Garrett,,,Y
2240030413,ABC KINGDOM CHILDCARE CENTER,4501 E 131ST,GARFIELD HEIGHTS,OH,44105,CUYAHOGA,216-860-0011,abckingdom2024@gmail.com,Licensed Child Care Center,0,2025-03-10,2026-03-09,alexandre williams,,,Y
2240031001,ABC LEARNERS ACADEMY,4408 GLENWAY AVENUE,CINCINNATI,OH,45205,HAMILTON,513-244-1765,abcla4408@gmail.com,Licensed Child Care Center,1,2024-12-16,,Tiffany McDaniel,Tiffany CARTER,,Y
2240031333,ABC LEARNING CARE,624 WILLIAMSDALE DR,TOLEDO,OH,43609,LUCAS,567-315-3226,jasmineowens623@gmail.com,Licensed Type B Family Child Care Home,0,2025-06-05,2026-06-04,,,,Y
400502,ABC LEARNING CENTER,5730 KATHY RUN LANE,COLUMBUS,OH,43229,FRANKLIN,614-901-2222,abccares1@gmail.com,Licensed Child Care Center,1,2013-04-08,,NUR JAMA,,,Y
2240031002,ABC LITTLE LEARNERS ACADEMY LLC,6300 RIDGEFIELD DR,CINCINNATI,OH,45224,HAMILTON,513-888-4550,abclittlelearnersacademyllc@gmail.com,Licensed Type B Family Child Care Home,3,2024-12-27,,,,,Y
2250032983,ABC ME GROW 2,7260 LAKESHORE BOULEVARD,MENTOR,OH,44060,LAKE,440-510-8100,abcmegrow2@yahoo.com,Licensed Child Care Center,0,2025-12-21,2026-12-20,Twshanna Robertson,,,Y
2230027938,ABC ME GROW ACADEMY,33212 VINE ST,EASTLAKE,OH,44095,LAKE,440-571-4001,abcmegrow@yahoo.com,Licensed Child Care Center,1,2023-06-07,,Twshanna Robertson,,,Y
2230028221,ABC PALACE,5040 NORTHFIELD RD,MAPLE HEIGHTS,OH,44137,CUYAHOGA,216-510-0414,abcpalace26@yahoo.com,Licensed Child Care Center,1,2023-12-04,,PORCHIA EATON,,,Y
2210025292,ABCS OF DEVELOPMENT,25701 RICHARDS AVE.,EUCLID,OH,44132,CUYAHOGA,216-338-4607,abcsofdevelopment@gmail.com,Licensed Type B Family Child Care Home,1,2022-06-14,,,,,Y
2220026238,ABC'Z WITH MS. NINI,4127 FAIRVIEW DRIVE,TOLEDO,OH,43612,LUCAS,419-409-9109,miniblessings325@gmail.com,Licensed Type B Family Child Care Home,0,2022-10-06,,,,,Y
206067,ABERDEEN HEAD START CENTER,2300 RAINS EITEL RD,ABERDEEN,OH,45101,BROWN,937-378-6041,heatherj.abhs@gmail.com,Licensed Child Care Center,3,2004-03-17,,Melody Starrett,Lely Palmer,,N
202678,ABILITIES FIRST EARLY CHILDHOOD LEARNING CENTER,4710 TIMBER TRAIL DRIVE,MIDDLETOWN,OH,45044,BUTLER,513-423-9496,stephanie.cress@abilitiesfirst.org,Licensed Child Care Center,3,1990-08-24,,Jennifer Franer,Stephanie Cress,,Y
2250032031,ABILITY CENTER DAY CAMP,"256 JOHN SCOTT HWY,",STEUBENVILLE,OH,43952,JEFFERSON,740-314-6364,stantonhomes64@gmail.com,Registered Day Camp or Approved Day Camp,0,2026-01-01,,,,,N
2170015613,ABILITY CHILD CARE,3640 CENTRAL AVE,GROVE CITY,OH,43123,FRANKLIN,614-957-5107,asmaali8101113@gmail.com,Licensed Type B Family Child Care Home,3,2017-06-22,,,,,Y
2250031663,ABILITY CHILD CENTER,2897 BROADWAY,URBAN CREST,OH,43123,FRANKLIN,614-900-3934,abilitychildcenter@gmail.com,Licensed Child Care Center,0,2025-05-05,2026-05-04,Asma Ali,,,Y
968078565,"ABNER, STEPHANIE",111 CLEARBROOK DRIVE,FRANKLIN,OH,45005,WARREN,937-321-7148,jnsabner@hotmail.com,Licensed Type B Family Child Care Home,0,2014-01-01,,,,,Y
977909493,"ABNEY, JENNIFER",1109 MORADO,CINCINNATI,OH,45238,HAMILTON,513-240-9955,jjtl0811@gmail.com,Licensed Type B Family Child Care Home,1,2014-01-01,,,,,Y
2200023296,ABOVE AND BEYOND DAYCARE AND LEARNING CENTER,802 WEIS STREET,COLDWATER,OH,45828,MERCER,419-678-7000,aboveandbeyonddaycarelc@gmail.com,Licensed Child Care Center,0,2020-12-28,,Michelle Schwieterman,,,N
2220026838,ABOVE AND BEYOND ENRICHMENT CENTER,3806 NICHOLAS ROAD,DAYTON,OH,45417,MONTGOMERY,937-567-0037,jennifer.d@aboveandbeyondenrich.com,Licensed Child Care Center,3,2022-11-01,,JENNIFER DEWBERRY,,,Y
2240030892,ABOVE AVERAGE LEARNING CENTER,5415 SECOR ROAD STE 3 & 4,TOLEDO,OH,43623,LUCAS,419-720-5040,aboveaveragelearningcenter@yahoo.com,Licensed Child Care Center,1,2024-12-07,,kibra reed-winfree,Akilah Parker,,Y
1000018868,ABRAHAM LINCOLN ELEMENTARY SCHOOL,6009 DUNHAM RD,MAPLE HEIGHTS,OH,44137,CUYAHOGA,216-438-6030,test@oclqs.org,Licensed School-Based Preschool,3,2011-09-24,,,,,Y
995755557,"ABRAMS, LENORA",305 KINGSWOOD TRAIL,TOLEDO,OH,43615,LUCAS,419-205-6016,fsdcarecenter@yahoo.com,Licensed Type B Family Child Care Home,1,2015-02-12,,,,,Y
