city,slug,normalized,count,counties,zip_count
CINCINNNATI,cincinnnati,cincinnnati,2,HAMILTON,2
CINICNNATI,cinicnnati,cinicnnati,1,HAMILTON,1
CIRCLEVILLE,circleville,circleville,12,PICKAWAY,1
CLARKSBURG,clarksburg,clarksburg,1,ROSS,1
CLARKSVILLE,clarksville,clarksville,2,CLINTON,1
CLAYTON,clayton,clayton,4,MONTGOMERY,1
CLEVELAND,cleveland,cleveland,458,CUYAHOGA,25
CLEVELAND HEIGHTS,cleveland-heights,cleveland heights,26,CUYAHOGA,4
CLEVELAND HTS,cleveland-hts,cleveland heights,13,CUYAHOGA,3
CLEVELAND HTS.,cleveland-hts,cleveland heights,2,CUYAHOGA,2
CLEVES,cleves,cleves,4,HAMILTON,1
CLEVLAND,clevland,clevland,2,CUYAHOGA,2
CLNCINNATI,clncinnati,clncinnati,1,HAMILTON,1
CLYDE,clyde,clyde,6,SANDUSKY,1
COAL GROVE,coal-grove,coal grove,1,LAWRENCE,1
COL,col,col,1,FRANKLIN,1
COLDWATER,coldwater,coldwater,4,MERCER,1
COLLINS,collins,collins,1,HURON,1
COLUBUS,colubus,colubus,1,FRANKLIN,1
COLUMBIA STATIO,columbia-statio,columbia statio,3,LORAIN,1
COLUMBIA STATION,columbia-station,columbia station,1,LORAIN,1
COLUMBIANA,columbiana,columbiana,7,COLUMBIANA,1
COLUMBUS,columbus,columbus,725,DELAWARE|FRANKLIN,33
COLUMBUS GROVE,columbus-grove,columbus grove,3,PUTNAM,1
COMMERCIAL POIN,commercial-poin,commercial poin,1,PICKAWAY,1
COMMERCIAL POINT,commercial-point,commercial point,2,FRANKLIN|PICKAWAY,1
CONCORD TWNSHP,concord-twnshp,concord township,1,LAKE,1
CONCORD TWP,concord-twp,concord township,1,LAKE,1
CONCORD TWSP,concord-twsp,concord township,1,LAKE,1
CONNEAUT,conneaut,conneaut,5,ASHTABULA,2
CONTINENTAL,continental,continental,1,PUTNAM,1
CONVOY,convoy,convoy,1,VAN WERT,1
COOLVILLE,coolville,coolville,1,ATHENS,1
COPLEY,copley,copley,4,SUMMIT,1
CORNING,corning,corning,3,PERRY,2
CORTLAND,cortland,cortland,9,TRUMBULL,1
COSHOCTON,coshocton,coshocton,11,COSHOCTON,1
COUMBUS,coumbus,coumbus,1,FRANKLIN,1
COVINGTON,covington,covington,1,MIAMI,1
CRESTLINE,crestline,crestline,4,CRAWFORD,1
CRESTON,creston,creston,3,WAYNE,1
CRIDERSVILLE,cridersville,cridersville,1,AUGLAIZE,1
CROOKSVILLE,crooksville,crooksville,4,PERRY,1
CROWN CITY,crown-city,crown city,3,GALLIA,1
CURTICE,curtice,curtice,1,OTTAWA,1
CUSTAR,custar,custar,1,WOOD,1
CUYAHOGA FALLS,cuyahoga-falls,cuyahoga falls,25,SUMMIT,2
CUYAHOGA HEIGHTS,cuyahoga-heights,cuyahoga heights,1,CUYAHOGA,1
DALTON,dalton,dalton,3,WAYNE,1
DANVILLE,danville,danville,2,KNOX,1
DAYTON,dayton,dayton,202,GREENE|MONTGOMERY,25
DE GRAFF,de-graff,de graff,1,LOGAN,1
DEER PARK,deer-park,deer park,1,HAMILTON,1
DEERFIELD TWP,deerfield-twp,deerfield township,1,WARREN,1
DEFIANCE,defiance,defiance,20,DEFIANCE,1
DELAWARE,delaware,delaware,34,DELAWARE,1
DELPHOS,delphos,delphos,3,ALLEN|VAN WERT,1
DELTA,delta,delta,4,FULTON,1
DENNISON,dennison,dennison,2,TUSCARAWAS,1
DESHLER,deshler,deshler,1,HENRY,1
DOLA,dola,dola,1,HARDIN,1
DOVER,dover,dover,7,TUSCARAWAS,1
DOYLESTOWN,doylestown,doylestown,6,WAYNE,1
DRESDEN,dresden,dresden,2,MUSKINGUM,1
DUBIN,dubin,dubin,1,FRANKLIN,1
DUBLIN,dublin,dublin,57,DELAWARE|FRANKLIN|UNION,2
DUNCAN FALLS,duncan-falls,duncan falls,3,MUSKINGUM,1
DUPONT,dupont,dupont,1,PUTNAM,1
E. CLEVELAND,e-cleveland,e cleveland,1,CUYAHOGA,1
E. LIVERPOOL,e-liverpool,e liverpool,2,COLUMBIANA,1
EAST CANTON,east-canton,east canton,3,STARK,1
EAST CLEVELAND,east-cleveland,east cleveland,15,CUYAHOGA,2
EAST LIVERPOOL,east-liverpool,east liverpool,8,COLUMBIANA,1
EAST PALESTINE,east-palestine,east palestine,3,COLUMBIANA,1
EAST SPARTA,east-sparta,east sparta,1,STARK,1
EASTLAKE,eastlake,eastlake,8,LAKE,2
EATON,eaton,eaton,10,PREBLE,1
EDGERTON,edgerton,edgerton,3,WILLIAMS,1
EDON,edon,edon,2,WILLIAMS,1
ELMORE,elmore,elmore,2,OTTAWA,1
ELYRIA,elyria,elyria,44,LORAIN,1
ENGLEWOOD,englewood,englewood,11,MONTGOMERY,2
ENON,enon,enon,2,CLARK,1
ETNA,etna,etna,3,LICKING,2
EUCLID,euclid,euclid,66,CUYAHOGA,5
EVENDALE,evendale,evendale,2,HAMILTON,1
FAIFIELD,faifield,faifield,1,BUTLER,1
FAIRBORN,fairborn,fairborn,13,CLARK|GREENE,1
FAIRBRON,fairbron,fairbron,1,GREENE,1
FAIRFIELD,fairfield,fairfield,40,BUTLER|HAMILTON,2
FAIRLAWN,fairlawn,fairlawn,9,SUMMIT,1
FAIRPORT HARBOR,fairport-harbor,fairport harbor,2,LAKE,1
FAIRVIEW PARK,fairview-park,fairview park,4,CUYAHOGA,1
FAYETTE,fayette,fayette,1,FULTON,1
FAYETTEVILLE,fayetteville,fayetteville,1,BROWN,1
FELICITY,felicity,felicity,4,CLERMONT,1
FINDLAY,findlay,findlay,25,HANCOCK,1
FLEMING,fleming,fleming,1,WASHINGTON,1
FLETCHER,fletcher,fletcher,1,MIAMI,1
FLUSHING,flushing,flushing,1,BELMONT,1
FOREST,forest,forest,2,HARDIN,1
FOREST PARK,forest-park,forest park,3,HAMILTON,1
FORT JENNINGS,fort-jennings,fort jennings,1,PUTNAM,1
FORT LORAMIE,fort-loramie,fort loramie,1,SHELBY,1
FORT RECOVERY,fort-recovery,fort recovery,2,MERCER,1
FOSTORIA,fostoria,fostoria,7,HANCOCK|SENECA|WOOD,1
FRANKFORT,frankfort,frankfort,2,ROSS,1
FRANKLIN,franklin,franklin,6,WARREN,1
FRANKLIN FURNACE,franklin-furnace,franklin furnace,2,SCIOTO,1
FRAZEYSBURG,frazeysburg,frazeysburg,3,MUSKINGUM,1
FREDERICKTOWN,fredericktown,fredericktown,5,KNOX,1
FREEPORT,freeport,freeport,1,HARRISON,1
FREMONT,fremont,fremont,39,SANDUSKY,1
GAHANNA,gahanna,gahanna,30,FRANKLIN,1
GALENA,galena,galena,6,DELAWARE,1
GALION,galion,galion,7,CRAWFORD|MORROW,1
GALLIPOLIS,gallipolis,gallipolis,12,GALLIA,1
GALLOWAY,galloway,galloway,17,FRANKLIN,1
GAMBIER,gambier,gambier,1,KNOX,1
GARFIELD,garfield,garfield,5,CUYAHOGA,2
GARFIELD HEIGHTS,garfield-heights,garfield heights,19,CUYAHOGA,2
GARFIELD HTS,garfield-hts,garfield heights,13,CUYAHOGA,2
GARFIELD HTS.,garfield-hts,garfield heights,1,CUYAHOGA,1
GARRETSVILLE,garretsville,garretsville,1,PORTAGE,1
GARRETTSVILLE,garrettsville,garrettsville,2,PORTAGE,1
GATES MILLS,gates-mills,gates mills,2,CUYAHOGA,1
GENEVA,geneva,geneva,6,ASHTABULA,1
GENOA,genoa,genoa,4,OTTAWA,1
GEORGETOWN,georgetown,georgetown,4,BROWN,1
GERMANTOWN,germantown,germantown,4,MONTGOMERY,1
GIBSONBURG,gibsonburg,gibsonburg,2,SANDUSKY,1
GIRARD,girard,girard,4,TRUMBULL,1
GLANDORF,glandorf,glandorf,1,PUTNAM,1
GLENMONT,glenmont,glenmont,1,HOLMES,1
GLOUSTER,glouster,glouster,2,ATHENS,1
GNADENHUTTEN,gnadenhutten,gnadenhutten,3,TUSCARAWAS,1
GOSHEN,goshen,goshen,3,CLERMONT,1
GRAFTON,grafton,grafton,4,LORAIN,1
GRAND RAPIDS,grand-rapids,grand rapids,1,WOOD,1
GRANDVIEW HEIGHTS,grandview-heights,grandview heights,1,FRANKLIN,1
GRANVILLE,granville,granville,8,LICKING,1
GRAYSVILLE,graysville,graysville,1,MONROE,1
GRAYTOWN,graytown,graytown,1,OTTAWA,1
GREEN SPRINGS,green-springs,green springs,3,SANDUSKY,1
GREEN TWNSHIP,green-twnship,green twnship,1,HAMILTON,1
GREENFIELD,greenfield,greenfield,6,HIGHLAND,1
GREENSPRINGS,greensprings,greensprings,1,SENECA,1
GREENVILLE,greenville,greenville,11,DARKE,1
GREENWICH,greenwich,greenwich,1,HURON,1
GROVE,grove,grove,1,FRANKLIN,1
GROVE CITY,grove-city,grove city,29,FRANKLIN,1
GROVECITY,grovecity,grovecity,1,FRANKLIN,1
GROVEPORT,groveport,groveport,13,FRANKLIN,1
GROVER HILL,grover-hill,grover hill,1,PAULDING,1
HAMDEN,hamden,hamden,2,VINTON,1
HAMERSVILLE,hamersville,hamersville,2,BROWN,1
HAMILITON,hamiliton,hamiliton,1,BUTLER,1
HAMILTON,hamilton,hamilton,57,BUTLER|HAMILTON,3
HAMLER,hamler,hamler,1,HENRY,1
HAMMONDSVILLE,hammondsville,hammondsville,1,JEFFERSON,1
HANGING ROCK,hanging-rock,hanging rock,1,LAWRENCE,1
HANNIBAL,hannibal,hannibal,1,MONROE,1
HANOVERTON,hanoverton,hanoverton,1,COLUMBIANA,1
HARRISON,harrison,harrison,14,HAMILTON,1
HARROD,harrod,harrod,1,ALLEN,1
HARTVILLE,hartville,hartville,2,STARK,1
HEATH,heath,heath,6,LICKING,1
HEBRON,hebron,hebron,2,LICKING,1
HICKSVILLE,hicksville,hicksville,3,DEFIANCE,1
HIGHLAND HEIGHTS,highland-heights,highland heights,3,CUYAHOGA,1
HIGHLAND HGHTS,highland-hghts,highland heights,1,CUYAHOGA,1
HIGHLAND HTS,highland-hts,highland heights,2,CUYAHOGA,1
HILLARD,hillard,hillard,1,FRANKLIN,1
HILLIARD,hilliard,hilliard,52,FRANKLIN,1
HILLSBORO,hillsboro,hillsboro,10,HIGHLAND,1
HOLGATE,holgate,holgate,2,HENRY,1
HOLLAND,holland,holland,10,LUCAS,1
HOLMESVILLE,holmesville,holmesville,1,HOLMES,1
HOUSTON,houston,houston,1,SHELBY,1
HOWARD,howard,howard,1,KNOX,1
HUBBARD,hubbard,hubbard,8,TRUMBULL,1
HUBER HEIGHTS,huber-heights,huber heights,18,MONTGOMERY,1
HUDSON,hudson,hudson,14,SUMMIT,1
HUNTSBURG,huntsburg,huntsburg,1,GEAUGA,1
HURON,huron,huron,5,ERIE,1
INDEPENDENCE,independence,independence,5,CUYAHOGA,1
INDIAN SPRINGS,indian-springs,indian springs,1,BUTLER,1
IRONTON,ironton,ironton,11,LAWRENCE,1
JACKSON,jackson,jackson,13,JACKSON,1
JACKSON CENTER,jackson-center,jackson center,2,SHELBY,1
JACKSONVILLE,jacksonville,jacksonville,1,ATHENS,1
JAMESTOWN,jamestown,jamestown,3,GREENE,1
JEFFERSON,jefferson,jefferson,7,ASHTABULA,1
JEFFERSONVILLE,jeffersonville,jeffersonville,1,FAYETTE,1
JENERA,jenera,jenera,1,HANCOCK,1
JEROMESVILLE,jeromesville,jeromesville,1,ASHLAND,1
JERUSALEM,jerusalem,jerusalem,1,MONROE,1
JEWETT,jewett,jewett,1,HARRISON,1
JOHNSTOWN,johnstown,johnstown,6,LICKING,1
JUNCTION CITY,junction-city,junction city,4,PERRY,1
KALIDA,kalida,kalida,2,PUTNAM,1
KANSAS,kansas,kansas,1,SANDUSKY,1
KELLEYS ISLAND,kelleys-island,kelleys island,1,ERIE,1
KENT,kent,kent,15,PORTAGE,2
KENTON,kenton,kenton,11,HARDIN,1
KETTERING,kettering,kettering,28,MONTGOMERY,6
KINGS MILLS,kings-mills,kings mills,5,WARREN,1
KINGSVILLE,kingsville,kingsville,2,ASHTABULA,1
KINSMAN,kinsman,kinsman,2,TRUMBULL,1
KIRKERSVILLE,kirkersville,kirkersville,1,LICKING,1
KIRTLAND,kirtland,kirtland,4,LAKE,1
LAGRANGE,lagrange,lagrange,4,LORAIN,1
LAKE MILTON,lake-milton,lake milton,1,MAHONING,1
LAKESIDE MARBLEHEAD,lakeside-marblehead,lakeside marblehead,1,OTTAWA,1
LAKEVILLE,lakeville,lakeville,1,HOLMES,1
LAKEWOOD,lakewood,lakewood,28,CUYAHOGA,1
LANCASTER,lancaster,lancaster,36,FAIRFIELD,1
LARUE,larue,larue,1,MARION,1
LATHAM,latham,latham,2,PIKE,1
LAURELVILLE,laurelville,laurelville,1,HOCKING,1
LEAVITTSBURG,leavittsburg,leavittsburg,2,TRUMBULL,1
LEBANON,lebanon,lebanon,13,WARREN,1
LEESBURG,leesburg,leesburg,2,HIGHLAND,1
LEETONIA,leetonia,leetonia,6,COLUMBIANA,1
LEIPSIC,leipsic,leipsic,3,PUTNAM,1
LEWIS CENTER,lewis-center,lewis center,27,DELAWARE,1
LEWISBURG,lewisburg,lewisburg,3,PREBLE,1
LEWISBURG OH,lewisburg-oh,lewisburg oh,1,PREBLE,1
LEWISTOWN,lewistown,lewistown,2,LOGAN,1
LEXINGTON,lexington,lexington,4,RICHLAND,1
LIBERTY CENTER,liberty-center,liberty center,2,HENRY,1
LIBERTY TOWNSHIP,liberty-township,liberty township,7,BUTLER,2
LIBERTY TOWNSHP,liberty-townshp,liberty townshp,2,BUTLER,1
LIBERTY TWNSP.,liberty-twnsp,liberty twnsp,1,BUTLER,1
LIBERTY TWP,liberty-twp,liberty township,8,BUTLER|TRUMBULL,3
LIMA,lima,lima,56,ALLEN,5
LISBON,lisbon,lisbon,6,COLUMBIANA,1
LITHOPOLIS,lithopolis,lithopolis,2,FAIRFIELD,1
LITTLE HOCKING,little-hocking,little hocking,1,WASHINGTON,1
LOCKBOURNE,lockbourne,lockbourne,1,FRANKLIN,1
LODI,lodi,lodi,2,MEDINA,1
LOGAN,logan,logan,17,HOCKING,1
LONDON,london,london,13,MADISON,2
LORAIN,lorain,lorain,77,LORAIN,3
LORE CITY,lore-city,lore city,1,GUERNSEY,1
LOUDONVILLE,loudonville,loudonville,5,ASHLAND,1
LOUISVILLE,louisville,louisville,10,STARK,2
LOVELAND,loveland,loveland,18,CLERMONT|HAMILTON|WARREN,1
LOWELL,lowell,lowell,1,WASHINGTON,1
LUCAS,lucas,lucas,2,RICHLAND,1
LUCASVILLE,lucasville,lucasville,5,SCIOTO,1
LYNCHBURG,lynchburg,lynchburg,1,HIGHLAND,1
LYNDHURST,lyndhurst,lyndhurst,9,CUYAHOGA,2
MACEDONIA,macedonia,macedonia,9,SUMMIT,1
MADEIRA,madeira,madeira,3,HAMILTON,1
MADISON,madison,madison,7,LAKE,1
MAGNOLIA,magnolia,magnolia,3,TUSCARAWAS,1
MAINEVILLE,maineville,maineville,10,WARREN,1
MALTA,malta,malta,2,MORGAN,1
MALVERN,malvern,malvern,3,CARROLL,1
MANCHESTER,manchester,manchester,5,ADAMS,1
MANSFIED,mansfied,mansfied,1,RICHLAND,1
MANSFIELD,mansfield,mansfield,46,RICHLAND,6
MANTUA,mantua,mantua,2,PORTAGE,1
MAPLE,maple,maple,2,CUYAHOGA,1
MAPLE  HEIGHT,maple-height,maple height,1,CUYAHOGA,1
MAPLE HEIGHTS,maple-heights,maple heights,38,CUYAHOGA,2
MAPLE HTS,maple-hts,maple heights,10,CUYAHOGA,1
MAPLE HTS.,maple-hts,maple heights,2,CUYAHOGA,1
MAPLEHEIGHTS,mapleheights,mapleheights,1,CUYAHOGA,1
MARENGO,marengo,marengo,4,MORROW,1
MARIA STEIN,maria-stein,maria stein,3,MERCER,1
MARIETTA,marietta,marietta,18,WASHINGTON,1
MARION,marion,marion,39,MARION,1
MARTIN,martin,martin,1,OTTAWA,1
MARTINS,martins,martins,1,BELMONT,1
MARTINS FERRY,martins-ferry,martins ferry,3,BELMONT,1
MARTINSVILLE,martinsville,martinsville,2,CLINTON,1
MARYSVILLE,marysville,marysville,14,UNION,1
MASON,mason,mason,33,WARREN,1
MASSILION,massilion,massilion,1,STARK,1
MASSILLON,massillon,massillon,38,STARK,2
MAUMEE,maumee,maumee,16,LUCAS,1
MAYFIELD,mayfield,mayfield,1,CUYAHOGA,1
MAYFIELD HEIGHTS,mayfield-heights,mayfield heights,1,CUYAHOGA,1
MAYFIELD HTS,mayfield-hts,mayfield heights,3,CUYAHOGA,1
MAYFIELD HTS.,mayfield-hts,mayfield heights,1,CUYAHOGA,1
MAYFIELD VILLAGE,mayfield-village,mayfield village,3,CUYAHOGA,1
MC ARTHUR,mc-arthur,mc arthur,5,VINTON,1
MC COMB,mc-comb,mc comb,1,HANCOCK,1
MC CONNELSVILLE,mc-connelsville,mc connelsville,1,MORGAN,1
MC DERMOTT,mc-dermott,mc dermott,2,SCIOTO,1
MC DONALD,mc-donald,mc donald,1,TRUMBULL,1
MCARTHUR,mcarthur,mcarthur,2,VINTON,1
MCCOMB,mccomb,mccomb,1,HANCOCK,1
MCCONNELSVILLE,mcconnelsville,mcconnelsville,1,MORGAN,1
MCDERMOTT,mcdermott,mcdermott,1,SCIOTO,1
MCDONALD,mcdonald,mcdonald,2,TRUMBULL,1
MCGUFFEY,mcguffey,mcguffey,2,HARDIN,1
MECHANICSBURG,mechanicsburg,mechanicsburg,3,CHAMPAIGN,1
MEDINA,medina,medina,29,MEDINA,1
MEDWAY,medway,medway,2,CLARK,1
MELROSE,melrose,melrose,1,PAULDING,1
MENTOR,mentor,mentor,26,LAKE,1
MESOPOTAMIA,mesopotamia,mesopotamia,1,TRUMBULL,1
METAMORA,metamora,metamora,1,FULTON,1
MIAMISBURG,miamisburg,miamisburg,17,MONTGOMERY,1
MIDDLEBURG HEIGHTS,middleburg-heights,middleburg heights,1,CUYAHOGA,1
MIDDLEBURG HTS,middleburg-hts,middleburg heights,3,CUYAHOGA,1
MIDDLEFIELD,middlefield,middlefield,3,GEAUGA,1
MIDDLEPORT,middleport,middleport,4,MEIGS,1
MIDDLETOWN,middletown,middletown,23,BUTLER|WARREN,3
MILAN,milan,milan,5,ERIE,1
MILFORD,milford,milford,21,CLERMONT,1
MILFORD CENTER,milford-center,milford center,3,UNION,1
MILLBURY,millbury,millbury,3,WOOD,1
MILLER CITY,miller-city,miller city,2,PUTNAM,1
MILLERSBURG,millersburg,millersburg,7,HOLMES,1
MILLERSPORT,millersport,millersport,2,FAIRFIELD,1
MINERAL RIDGE,mineral-ridge,mineral ridge,5,MAHONING|TRUMBULL,1
MINERVA,minerva,minerva,3,STARK,1
MINFORD,minford,minford,4,SCIOTO,1
MINGO JUNCTION,mingo-junction,mingo junction,3,JEFFERSON,1
MINSTER,minster,minster,3,AUGLAIZE,1
MOGADORE,mogadore,mogadore,5,PORTAGE|SUMMIT,1
MONCLOVA,monclova,monclova,4,LUCAS,1
MONROE,monroe,monroe,7,BUTLER,1
MONROEVILLE,monroeville,monroeville,2,HURON,1
MONTGOMERY,montgomery,montgomery,1,HAMILTON,1
MONTPELIER,montpelier,montpelier,5,WILLIAMS,1
MORAINE,moraine,moraine,4,MONTGOMERY,2
MORRAL,morral,morral,3,MARION,1
MORROW,morrow,morrow,2,WARREN,1
MOUNT GILEAD,mount-gilead,mount gilead,6,MORROW,1
MOUNT ORAB,mount-orab,mount orab,1,BROWN,1
MOUNT STERLING,mount-sterling,mount sterling,1,MADISON,1
